ExecutionId,Report Name,TimeStart,UserName,Full Name,State,Role,Interactions
5bb18dc8-54c5-4b40-ba8d-8d3068472e40,Financial Dashboard,15/04/2025,user35@company.com,Autumn Robinson,Victoria,Management,42
26b54355-5f67-406e-a5ea-6a8d437f5ba2,Operations Dashboard,15/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,33
48bc2633-8780-459f-8b9a-ca5fcae2d8f6,Management Dashboard,15/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,81
150cc01b-1885-4013-9103-9af9d4805263,Client Engagement Dashboard,15/04/2025,user9@company.com,Brian Hamilton,Victoria,Support Staff,46
1e493a61-758c-450d-8152-83fdfbf2953b,Operations Dashboard,15/04/2025,user24@company.com,Collin Lopez,Western Australia,Planners,22
1f7a3e94-b994-4e28-aea1-1805a0645ca3,Operations Dashboard,15/04/2025,user3@company.com,Elizabeth Woods,Victoria,Reporting Staff,74
b7b55ed9-3ba8-4dea-9d09-8b2e99558ff1,Operations Dashboard,15/04/2025,user36@company.com,Faith Cabrera,Queensland,Management,59
b4b1587b-b7cb-4bad-a337-fc5d8b50bbd4,Operations Dashboard,15/04/2025,user36@company.com,Faith Cabrera,Queensland,Management,87
81f493ad-57f4-4431-a357-0648d5efb934,Operations Dashboard,15/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,71
5cd0ac3b-11f9-4d00-b782-c31796ee9329,Management Dashboard,15/04/2025,user2@company.com,Jorge Sullivan,Northern Territory,Support Staff,73
415d53a9-724f-4523-b829-f03f2c4d02e2,Operations Dashboard,15/04/2025,user38@company.com,Kenneth Kent,Western Australia,Management,36
ee5a89bd-57b0-4264-b18f-fdc7e044b863,Operations Dashboard,15/04/2025,user21@company.com,Kimberly Maynard,Victoria,Reporting Staff,52
ab27f8bc-1d07-46ee-bf91-be7e642ca0e7,Financial Dashboard,15/04/2025,user40@company.com,Lisa Johnston,New South Wales,Management,30
454b6eea-a821-43ab-85a1-e955e7be79d9,Client Engagement Dashboard,15/04/2025,user40@company.com,Lisa Johnston,New South Wales,Management,49
79ea42ec-74fc-40ef-be1f-738ffe381599,Client Engagement Dashboard,15/04/2025,user40@company.com,Lisa Johnston,New South Wales,Management,38
e09c2b37-9f34-41ee-a919-bbdfcb02850c,Operations Dashboard,15/04/2025,user26@company.com,Peter Mcdowell,Victoria,Support Staff,51
a21d89d3-8914-4019-9684-aeaa6290298c,Operations Dashboard,15/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,56
b4aea7e0-dee0-4243-92c0-72730680b825,Client Engagement Dashboard,15/04/2025,user7@company.com,Stephanie Collins,Queensland,Planners,39
